chr_name	start	end	val	color	gene
chr1	14409	14409	1	lightgray	DDX11L1
chr1	17436	17436	1	lightgray	MIR6859-1
chr1	29370	29370	1	lightgray	WASH7P
chr1	30503	30503	1	lightgray	MIR1302-2
chr1	36081	36081	1	lightgray	FAM138A
chr1	65564	70008	1	lightgray	OR4F5
chr1	140566	140566	1	lightgray	LOC729737
chr1	328581	328581	1	lightgray	LOC100132287
chr1	367658	368597	1	lightgray	OR4F29
chr1	564389	564389	1	lightgray	LOC101928626
chr1	568065	568065	1	lightgray	MIR12136
chr1	621095	622034	1	lightgray	OR4F16
chr1	714014	714014	1	lightgray	LOC100288069
chr1	755214	755214	1	lightgray	FAM87B
chr1	762902	762902	1	lightgray	LINC00115
chr1	778984	778984	1	lightgray	LINC01128
chr1	794826	794826	1	lightgray	LINC01128
chr1	794826	794826	1	lightgray	LINC01128
chr1	794826	794826	1	lightgray	LINC01128
chr1	794826	794826	1	lightgray	LINC01128
chr1	794826	794826	1	lightgray	LINC01128
chr1	812182	812182	1	lightgray	FAM41C
chr1	855072	855072	1	lightgray	LINC02593
chr1	855072	855072	1	lightgray	LINC02593
chr1	859811	879533	1	lightgray	SAMD11
chr1	859811	879533	1	lightgray	SAMD11
chr1	860984	860984	1	lightgray	LOC107985728
chr1	861321	879533	1	lightgray	SAMD11
chr1	880073	894620	1	lightgray	NOC2L
chr1	896073	900571	1	lightgray	KLHL17
chr1	901911	909955	1	lightgray	PLEKHN1
chr1	901911	909955	1	lightgray	PLEKHN1
chr1	901911	909955	1	lightgray	PLEKHN1
chr1	911551	916409	1	lightgray	PERM1
chr1	911551	916409	1	lightgray	PERM1
chr1	911551	916409	1	lightgray	PERM1
chr1	911551	916409	1	lightgray	PERM1
chr1	911551	916546	1	lightgray	PERM1
chr1	934438	935353	1	lightgray	HES4
chr1	934438	935353	1	lightgray	HES4
chr1	948953	949858	1	lightgray	ISG15
chr1	955552	990361	1	lightgray	AGRN
chr1	955552	990361	1	lightgray	AGRN
chr1	969935	990361	1	lightgray	AGRN
chr1	1001833	1001833	1	lightgray	LOC100288175
chr1	1004717	1004717	1	lightgray	LOC105378948
chr1	1004717	1004717	1	lightgray	LOC105378948
chr1	1007196	1007946	1	lightgray	RNF223
chr1	1018272	1026923	1	lightgray	C1orf159
chr1	1018272	1026923	1	lightgray	C1orf159
chr1	1018272	1026923	1	lightgray	C1orf159
chr1	1079436	1079436	1	lightgray	LINC01342
chr1	1102578	1102578	1	lightgray	MIR200B
chr1	1103332	1103332	1	lightgray	MIR200A
chr1	1104467	1104467	1	lightgray	MIR429
chr1	1114595	1133227	1	lightgray	TTLL10
chr1	1114595	1133227	1	lightgray	TTLL10
chr1	1114935	1114935	1	lightgray	TTLL10-AS1
chr1	1115433	1120522	1	lightgray	TTLL10
chr1	1138970	1141951	1	lightgray	TNFRSF18
chr1	1139223	1141951	1	lightgray	TNFRSF18
chr1	1139223	1141951	1	lightgray	TNFRSF18
chr1	1146934	1149507	1	lightgray	TNFRSF4
chr1	1152891	1164152	1	lightgray	SDF4
chr1	1153049	1164152	1	lightgray	SDF4
chr1	1167658	1168648	1	lightgray	B3GALT6
chr1	1177927	1182070	1	lightgray	C1QTNF12
chr1	1190582	1198741	1	lightgray	UBE2J2
chr1	1190582	1198741	1	lightgray	UBE2J2
chr1	1190582	1203372	1	lightgray	UBE2J2
chr1	1190582	1203372	1	lightgray	UBE2J2
chr1	1216041	1226990	1	lightgray	SCNN1D
chr1	1227405	1227405	1	lightgray	SCNN1D
chr1	1228943	1243195	1	lightgray	ACAP3
chr1	1231550	1231550	1	lightgray	MIR6726
chr1	1240192	1240192	1	lightgray	SNORD167
chr1	1244023	1246759	1	lightgray	PUSL1
chr1	1244023	1246759	1	lightgray	PUSL1
chr1	1247057	1247057	1	lightgray	PUSL1
chr1	1247238	1256414	1	lightgray	INTS11
chr1	1247238	1257333	1	lightgray	INTS11
chr1	1247238	1259988	1	lightgray	INTS11
chr1	1247238	1259988	1	lightgray	INTS11
chr1	1247238	1259988	1	lightgray	INTS11
chr1	1247946	1247946	1	lightgray	MIR6727
chr1	1262290	1263143	1	lightgray	CPTP
chr1	1266725	1269844	1	lightgray	TAS1R3
chr1	1271521	1284445	1	lightgray	DVL1
chr1	1271521	1284445	1	lightgray	DVL1
chr1	1275088	1275088	1	lightgray	MIR6808
chr1	1288680	1293884	1	lightgray	MXRA8
chr1	1288983	1293884	1	lightgray	MXRA8
chr1	1288983	1293884	1	lightgray	MXRA8
chr1	1288983	1293884	1	lightgray	MXRA8
